こころ,点数,コメント,しゃかい,点数,コメント,がくしゅう,点数,コメント,からだ,点数,コメント,せいかつ,点数,コメント,身のまわり,点数,コメント
第1問,3,解答なし,第1問,3,解答なし,第1問,3,解答なし,第1問,3,解答なし,第1問,4,解答なし,第1問,4,解答なし
第2問,2,解答なし,第2問,2,解答なし,第2問,3,解答なし,第2問,2,解答なし,第2問,5,解答なし,第2問,4,解答なし
第3問,1,解答なし,第3問,4,解答なし,第3問,4,解答なし,第3問,3,解答なし,第3問,3,解答なし,第3問,3,解答なし
第4問,4,解答なし,第4問,4,解答なし,第4問,2,解答なし,第4問,4,解答なし,第4問,2,解答なし,第4問,2,解答なし
第5問,5,解答なし,第5問,3,解答なし,第5問,3,解答なし,第5問,4,解答なし,第5問,1,解答なし,第5問,2,解答なし
第6問,3,解答なし,第6問,2,解答なし,第6問,3,解答なし,第6問,3,解答なし,第6問,2,解答なし,第6問,3,解答なし
第7問,4,解答なし,第7問,3,解答なし,第7問,4,解答なし,第7問,3,解答なし,第7問,3,解答なし,第7問,4,解答なし
第8問,4,解答なし,第8問,3,解答なし,第8問,3,解答なし,第8問,2,解答なし,第8問,3,解答なし,第8問,1,解答なし
第9問,3,解答なし,第9問,3,解答なし,第9問,2,解答なし,第9問,2,解答なし,第9問,3,解答なし,第9問,5,解答なし
第10問,2,解答なし,第10問,2,解答なし,第10問,3,解答なし,第10問,2,解答なし,第10問,3,解答なし,第10問,5,解答なし
合計,31,,,29,,,30,,,28,,,29,,,33
症状など,,,,,,,,,,,,,,,,
