こころ,点数,コメント,しゃかい,点数,コメント,がくしゅう,点数,コメント,からだ,点数,コメント,せいかつ,点数,コメント,身のまわり,点数,コメント
第1問,1,解答なし,第1問,1,解答なし,第1問,3,解答なし,第1問,1,解答なし,第1問,3,解答なし,第1問,0,解答なし
第2問,2,解答なし,第2問,2,解答なし,第2問,3,解答なし,第2問,2,解答なし,第2問,2,解答なし,第2問,0,解答なし
第3問,3,解答なし,第3問,3,解答なし,第3問,3,解答なし,第3問,3,解答なし,第3問,4,解答なし,第3問,0,解答なし
第4問,4,解答なし,第4問,4,解答なし,第4問,3,解答なし,第4問,4,解答なし,第4問,5,解答なし,第4問,0,解答なし
第5問,5,解答なし,第5問,5,解答なし,第5問,3,解答なし,第5問,5,解答なし,第5問,1,解答なし,第5問,0,解答なし
第6問,5,解答なし,第6問,5,解答なし,第6問,3,解答なし,第6問,5,解答なし,第6問,5,解答なし,第6問,0,解答なし
第7問,4,解答なし,第7問,4,解答なし,第7問,3,解答なし,第7問,4,解答なし,第7問,5,解答なし,第7問,0,解答なし
第8問,3,解答なし,第8問,3,解答なし,第8問,3,解答なし,第8問,3,解答なし,第8問,4,解答なし,第8問,0,解答なし
第9問,2,解答なし,第9問,2,解答なし,第9問,3,解答なし,第9問,2,解答なし,第9問,3,解答なし,第9問,0,解答なし
第10問,1,解答なし,第10問,1,解答なし,第10問,3,解答なし,第10問,1,解答なし,第10問,2,解答なし,第10問,0,解答なし
合計,30,,,30,,,30,,,30,,,34,,,0
症状など,,,,,,,,,,,,,,,,
