こころ,点数,コメント,しゃかい,点数,コメント,がくしゅう,点数,コメント,からだ,点数,コメント,せいかつ,点数,コメント,身のまわり,点数,コメント
第1問,4,解答なし,第1問,4,解答なし,第1問,4,解答なし,第1問,4,解答なし,第1問,4,解答なし,第1問,4,解答なし
第2問,5,解答なし,第2問,5,解答なし,第2問,5,解答なし,第2問,5,解答なし,第2問,5,解答なし,第2問,5,解答なし
第3問,4,解答なし,第3問,4,解答なし,第3問,4,解答なし,第3問,4,解答なし,第3問,4,解答なし,第3問,4,解答なし
第4問,5,解答なし,第4問,5,解答なし,第4問,5,解答なし,第4問,5,解答なし,第4問,5,解答なし,第4問,5,解答なし
第5問,4,解答なし,第5問,4,解答なし,第5問,4,解答なし,第5問,4,解答なし,第5問,4,解答なし,第5問,4,解答なし
第6問,5,解答なし,第6問,5,解答なし,第6問,5,解答なし,第6問,5,解答なし,第6問,5,解答なし,第6問,5,解答なし
第7問,4,解答なし,第7問,4,解答なし,第7問,4,解答なし,第7問,4,解答なし,第7問,4,解答なし,第7問,4,解答なし
第8問,5,解答なし,第8問,5,解答なし,第8問,5,解答なし,第8問,5,解答なし,第8問,5,解答なし,第8問,5,解答なし
第9問,4,解答なし,第9問,4,解答なし,第9問,4,解答なし,第9問,4,解答なし,第9問,4,解答なし,第9問,4,解答なし
第10問,5,解答なし,第10問,5,解答なし,第10問,5,解答なし,第10問,5,解答なし,第10問,5,解答なし,第10問,5,解答なし
合計,45,,,45,,,45,,,45,,,45,,,45
症状など,,,,,,,,,,,,,,,,
